session_id,listened_artists
7208,55838
7078,44233
6748,13344441
715109,54518
715169,40782156
460198,7332
7269,633
6798,5301
715108,54518
6909,2993763
143129,6656
7268,4148
7179,133
7309,16146804
715228,4597715
48899,87226
52528,22960
71649,18531301
81568,3227163
86719,5768984
94029,5017535
101259,9754069
107968,8370598
109488,7322
120629,839
133028,113
136729,8280
167118,209687
170239,32713463
188259,3009691
191218,24030325
192299,234896
213949,36597909
266189,234878
311308,234878
348248,933514
364308,316
402589,962734
414878,930145
442268,2831563
452519,32733
453708,24130613
458058,38426112
458068,38426112
458468,41821
489519,4369293
500379,14
505319,42366
506798,16813
507349,6279
510639,12907391
524488,5306
537568,39588
550469,28231159
556548,24378
562198,6443
562899,14
580879,32713463
584938,16513708
599428,30183060
620168,19613374
653708,19794734
659078,32716195
660469,467924
671038,841133
697068,7882
703159,16813
709499,41971201
709728,41971201
709899,41971201
714339,37629957
15478,3222118
54929,10182
72099,15702756
94048,5017535
102119,10012811
106889,1011712
117329,30183060
119559,24877
128389,618702
133898,3132
144959,6281
149018,5434
176099,19065245
180699,9999302
191249,24030325
193079,57212
193588,9928600
195239,20053025
226678,3168813
232279,463097
244258,82
262809,297472
269939,23180899
271458,4191
271889,11813209
286369,9711459
325408,5306
349708,3249046
408768,41391006
417339,1515
427878,52162
437059,29326
466259,2424531
503549,30863674
505618,"1729,10601"
510818,25391
510849,322
517169,2
573298,25620
578268,18158
582188,41821
586508,11996048
602119,6497434
615079,1049622
619658,19613374
638798,6197
650379,32180012
672848,11096117
672899,11096117
675619,16246212
698389,25055540
699628,19723514
709239,41971201
709578,41971201
713398,439
14838,208141
21739,6032975
28709,11067
56928,32538077
81509,28598
89199,10349
101148,9754069
101218,9754069
110508,45993
112568,16513708
126058,23724921
137128,23071970
144849,16813
145318,12264
152278,5824
170519,32713463
174608,41821
191178,24030325
209238,3194
221308,1013803
227228,39746031
233858,6160610
241368,49335
255368,531096
276508,11996048
287438,30282
321289,82
324939,5303
340029,6955819
376459,40701749
376839,50754
379778,297472
381698,3930
391359,2
399528,29702
407048,16843699
443349,27754874
443399,27754874
444749,407071
468589,3441
483728,49897
501349,459
543488,568764
544238,154
554678,187026
563329,29663
563619,30584
565999,2
613028,25620
619908,19613374
620858,"20666344,0"
638599,36799142
657018,41821
659558,4988942
662068,22244873
664589,41850592
673308,11096117
680508,9188
689388,38849208
5558,12815312
5728,42303672
47909,"4330967,27312"
105919,49897
106888,1011712
106948,1011712
117318,30183060
154999,37744748
173129,16246212
193598,9928600
194328,10219774
200459,35068328
214349,11041507
217878,234896
232848,"10375024,9885985"
255318,12019183
261968,16246023
295288,18158
297929,44233
302618,9713866
333999,7915
334958,74
338118,31213
369549,1034484
380829,7731186
405888,11996048
407338,23222504
416098,28237592
489398,32971954
539289,567
544469,2236899
594978,8233612
599429,30183060
606489,45702
613159,30960
627468,"4261,21982"
638659,36799142
654258,43888
657178,5301
662739,10182
675708,36930657
680268,41918671
690218,36799142
690459,36799142
694988,839
700749,38879848
714328,37629957
918,8354358
75128,5309
86728,5768984
101469,23595521
169908,35723
170628,32713463
193599,9928600
197078,188426
212689,2457561
220918,2693046
233208,16813
237719,12719146
320909,49896
341229,3246258
344478,33071123
396888,18899488
400198,49335
442139,25638
466299,54657
480888,31213
506799,16813
529678,9821717
551398,4988942
587269,23724921
615989,13703464
619678,29837638
619848,19613374
641679,"5750,5461"
675339,8280
689528,38849208
689578,37149098
695018,826325
703169,16813
708879,17812660
709318,41971201
709359,41971201
712858,16685032
47498,11278975
63158,1369257
75089,28324214
101118,9754069
102398,36318202
105299,18360533
108748,2402656
116198,47867
126248,16246212
152169,5824
157398,16513708
172288,82
185369,35347896
191359,24030325
191428,24030325
193568,9928600
199478,1037496
229848,16685032
232469,3353097
262819,297472
273389,4190
273519,11493889
303409,350158
366719,32713463
375509,50358
380629,11218631
382959,9680
383838,11996048
407539,16146804
409838,31603
412258,10883939
425758,14
438359,32953448
467728,4190
473409,2424531
486309,8689490
491788,8042622
528559,6443
535078,21722331
536488,26290369
584198,278
617858,8209372
619799,19613374
620049,19613374
653539,19794734
673339,11096117
690488,36799142
695418,42172466
695598,439
706398,16685032
709649,41971201
710058,41994961
8089,695196
35178,757256
85868,16955739
110469,"23071970,16246023"
117218,30183060
133318,18582303
152239,5824
162469,32177761
170339,32713463
173329,32204400
175329,10939
182388,23724921
190589,2522552
193459,9928600
193488,9928600
224059,12749
235068,16246212
246329,2424531
270098,36222988
293068,18756672
302629,9713866
350419,31213
361678,15061864
368709,58026
375508,19793622
408928,18106423
414578,11392880
438338,32953448
443358,27754874
445309,5054871
455968,5290898
470438,297472
486308,30407379
500628,1041393
509259,2793018
510489,633
527578,49335
531659,6089413
535819,"41821,198117"
542139,46077
542589,17567779
552289,28367773
562639,23645
582078,41821
586518,11996048
599718,16246212
611379,55097
620279,29837638
620418,27514675
625499,3508304
645509,847562
645968,31699523
657658,19723514
662589,6848775
672798,38511655
675228,35411
689708,38511655
709109,17812660
709678,41971201
57439,4190
94089,5017535
103148,44233
103768,10912318
116229,45702
143219,618702
152258,5824
158559,6089385
175988,18949176
180328,32778
184269,16246023
196209,58176
220369,32713463
244698,467924
256698,1034484
276528,11996048
287598,13960318
319409,31213
377749,18669367
381758,3930
383239,4190
389079,11996048
416649,335
455128,18958710
456828,30562
463569,16246023
471649,11576601
485938,16246023
496559,2578468
502109,8123
514338,8042622
522659,3737027
559468,31540755
561118,771035
586818,19723514
595299,2
640409,3319
643819,"7415206,21808338"
663729,6822258
664318,22244873
672878,11096117
705409,6497434
708979,"17812660,33079"
709449,41971201
709719,41971201
709778,41971201
709888,41971201
51019,18531301
71118,18108631
103769,226659
104068,33807
113749,19298235
123848,11996048
143418,285360
153809,460
159688,33263320
161468,6024205
188939,12719146
191589,297472
209489,16246023
226258,36263775
266888,962734
274749,2719659
291698,19298235
296898,26126246
302479,55097
302598,9713866
348669,32713463
349069,12327310
351368,40080
362799,2424531
371969,18
375798,3282271
381789,3930
383738,32713456
395359,19211115
405869,11996048
412178,6443
414719,2698371
420388,82
444719,407071
446708,34087948
449918,3632993
450698,439
508128,12973421
509298,199145
513688,10784349
527399,13290667
536129,19723514
547938,29326
560378,38146825
573079,6883
578208,531096
593179,303667
604629,12299828
614829,197230
620868,20666344
638489,36799142
645768,9371731
648708,6406
672809,38511655
705829,12177141
709508,41971201
709909,41971201
712868,6655
713278,4330967
714458,41290862
714818,37629957
6768,7500551
101568,2098492
138389,57482
149399,7915
163778,26830667
166298,299065
219538,618702
228259,28236262
251788,11385265
260608,4186
263099,13142988
277359,7911960
334088,7915
343109,23724921
344399,33071123
344409,33071123
348269,4209
368618,188448
370959,40154579
370978,40154579
373118,35062794
380299,6722124
381708,3930
386608,39011
434448,74
471208,3260886
490289,20799
504478,49335
527268,47911
533898,6056547
543678,7731186
581079,3249495
582079,41821
594809,728
600188,13667
611358,55097
619789,19613374
648908,"2870676,37149098"
650309,32180012
653369,19794734
662009,22244873
664238,22244873
673188,38511655
704618,501333
709358,41971201
712398,186095
57529,241353
87259,18392
102399,36318202
111019,22845204
134159,23071970
135298,23071851
145058,44233
146148,2831563
146149,2831563
152189,5824
166199,3856482
183559,62132
189289,40080
196829,4988942
199829,6735437
230098,2993763
290898,17398157
293369,55314
310698,"4261,0"
349299,199145
364539,209925
365238,40080
370128,10939
372808,1538
378659,1538
380309,584571
384658,33949501
405688,2424531
415719,10784349
437099,6654
449799,10939
453179,16813
462819,2966307
478928,4330967
497019,42251988
512529,10885622
525419,"7332,4261"
527638,2056264
547038,20280557
550688,3467056
551958,2190301
563528,11668199
585109,2184583
589519,274565
607739,8826773
619749,19613374
620469,19613374
631999,28563611
632938,5460
649619,21989885
649769,33722188
663738,207984
667169,17889740
673329,11096117
678268,24858
694628,25620
709139,17812660
709349,41971201
11749,24055
48549,50358
61058,18899488
62259,6818983
101198,9754069
102628,6405840
102849,10168
106469,25620910
112999,12719146
128669,9754069
136568,19428615
137749,199145
142139,10845
152298,5824
154049,13755
159679,9423
165529,30564
173238,55828
181619,3196
183358,16704867
190608,2522552
191458,24030325
195258,20053025
205479,1149048
205979,51937
234719,6443
258348,30305
259478,11
270738,2246889
295689,19271719
308689,490191
313178,21522356
317339,439
318028,26407
325348,17889740
370979,40154579
381739,3930
428729,34583586
439869,21633240
455398,5301
481339,41821
486989,10960
498268,41821
516328,8689490
554399,4178
555988,41821
583588,4330967
587249,23724921
599888,2144836
607468,6443
611609,407071
619359,29837638
619549,19613374
632818,23724921
654099,19723514
667559,36857846
709568,41971201
709958,41971201
25779,831059
38728,18813190
54989,4192783
88388,6795260
